Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,step,Train_EpisodeReturn,Train_EpisodeLen,actor_loss,entropy,critic_loss,q_values,target_values,alpha,alpha_loss,actor_lr,critic_lr,temperature
,,,,,33000,,,-64.40943908691406,-6.432077884674072,0.5453301668167114,63.438331604003906,63.44899368286133,0.021612804383039474,-0.00933841522783041,0.0003,0.0003,0.021614423021674156
,,,,,33999,2295.4084,1000,,,,,,,,,,
,,,,,34000,,,-68.97010040283203,-6.335981369018555,0.5672149062156677,68.00873565673828,67.98915100097656,0.022904518991708755,-0.007695505395531654,0.0003,0.0003,0.022906288504600525
,,,,,34999,2419.2024,1000,,,,,,,,,,
2521.7666,35.088173,2586.1382,2478.0776,1000.0,35000,,,-76.67003631591797,-6.054780960083008,0.4888564944267273,75.65142822265625,75.76175689697266,0.024342549964785576,-0.0013335113180801272,0.0003,0.0003,0.02434346079826355
,,,,,35999,2574.095,1000,,,,,,,,,,
,,,,,36000,,,-81.65252685546875,-6.061572551727295,0.6114652156829834,80.60556030273438,80.63261413574219,0.025674182921648026,-0.0015808293828740716,0.0003,0.0003,0.02567467838525772
,,,,,36999,2619.0159,1000,,,,,,,,,,
,,,,,37000,,,-90.45428466796875,-6.076834678649902,0.8507604002952576,89.22185516357422,89.39035034179688,0.026675796136260033,-0.002049627946689725,0.0003,0.0003,0.02667616493999958
,,,,,37999,2712.9128,1000,,,,,,,,,,
,,,,,38000,,,-95.86073303222656,-6.2032151222229,0.610223114490509,94.65113830566406,94.53591918945312,0.027980687096714973,-0.005686100572347641,0.0003,0.0003,0.027981486171483994
,,,,,38999,2620.5188,1000,,,,,,,,,,
,,,,,39000,,,-105.45323944091797,-6.091946601867676,0.6068100929260254,104.19381713867188,104.11285400390625,0.028872385621070862,-0.0026547126471996307,0.0003,0.0003,0.028873639181256294
,,,,,39999,2699.492,1000,,,,,,,,,,
2731.4287,64.02787,2829.2307,2616.1306,1000.0,40000,,,-105.94112396240234,-5.915081024169922,0.7671870589256287,104.72853088378906,104.80601501464844,0.029739148914813995,0.0025254127103835344,0.0003,0.0003,0.02974024787545204
,,,,,40999,2801.813,1000,,,,,,,,,,
,,,,,41000,,,-112.23541259765625,-5.9093918800354,0.6027563214302063,110.90601348876953,110.7637710571289,0.03039776347577572,0.0027542931493371725,0.0003,0.0003,0.030398285016417503
,,,,,41999,2774.0874,1000,,,,,,,,,,
,,,,,42000,,,-118.4078140258789,-6.137794494628906,0.7422729730606079,117.43550109863281,117.28244018554688,0.031492650508880615,-0.004339523613452911,0.0003,0.0003,0.031493593007326126
,,,,,42999,2856.3958,1000,,,,,,,,,,
,,,,,43000,,,-123.58435821533203,-6.390165328979492,0.905439019203186,122.31967163085938,122.26846313476562,0.03273960202932358,-0.012773851864039898,0.0003,0.0003,0.03274284675717354
,,,,,43999,2927.7112,1000,,,,,,,,,,
,,,,,44000,,,-130.469482421875,-5.806250095367432,0.8921006917953491,128.9904327392578,128.92808532714844,0.03417064622044563,0.006620544008910656,0.0003,0.0003,0.034171249717473984
,,,,,44999,2952.738,1000,,,,,,,,,,
2861.26,37.38234,2905.8364,2782.727,1000.0,45000,,,-136.46510314941406,-6.374240875244141,0.9222574234008789,134.6917724609375,134.9333038330078,0.035884544253349304,-0.013429454527795315,0.0003,0.0003,0.03588513284921646
,,,,,45999,2946.801,1000,,,,,,,,,,
,,,,,46000,,,-143.74447631835938,-6.660071849822998,0.9132975339889526,142.3448944091797,142.22886657714844,0.03792289271950722,-0.025031834840774536,0.0003,0.0003,0.03792642802000046
,,,,,46999,3011.6692,1000,,,,,,,,,,
,,,,,47000,,,-150.5426025390625,-6.119020938873291,0.901763916015625,149.0852508544922,148.98367309570312,0.03970880061388016,-0.004726179409772158,0.0003,0.0003,0.03970957547426224
,,,,,47999,2971.318,1000,,,,,,,,,,
,,,,,48000,,,-158.15487670898438,-6.27610969543457,0.9584013223648071,156.68251037597656,156.65615844726562,0.04058821499347687,-0.011206782422959805,0.0003,0.0003,0.04058759659528732
,,,,,48999,2979.971,1000,,,,,,,,,,
,,,,,49000,,,-161.75662231445312,-5.689488410949707,0.8164495229721069,160.1396942138672,160.18568420410156,0.04073178395628929,0.012647693045437336,0.0003,0.0003,0.040730465203523636
,,,,,49999,3045.2517,1000,,,,,,,,,,
2957.4353,92.6033,3034.9424,2698.6672,1000.0,50000,,,-167.34274291992188,-5.943338394165039,0.9352786540985107,165.82308959960938,165.93960571289062,0.03988468274474144,0.002259924542158842,0.0003,0.0003,0.03988340124487877
