critic/q_loss,critic/q_mean,critic/q_max,critic/q_min,actor/total_loss,actor/q_loss,actor/bc_loss,actor/entropy_loss,actor/mse,beta/beta_loss,beta/beta,step
0.9991486668586731,-1.0732786655426025,0.0,-1.1612272262573242,-4.139715194702148,0.3339148461818695,0.7446561455726624,-5.218286037445068,0.7446561455726624,9.320100784301758,0.9997000694274902,0
2.368041515350342,-39.430763244628906,0.0,-40.464698791503906,39.810752868652344,39.66191482543945,0.5291675329208374,-0.38032957911491394,0.5291675329208374,0.7825517654418945,0.09738213568925858,10000
1.0486629009246826,-51.41333770751953,0.0,-64.11174011230469,51.44776916503906,50.97534942626953,0.40714991092681885,0.0652693510055542,0.40714991092681885,0.007834753952920437,0.018204467371106148,20000
0.45978111028671265,-47.3864631652832,-2.6395790576934814,-77.45437622070312,47.39854049682617,46.860904693603516,0.4400661885738373,0.09756987541913986,0.4400661885738373,-0.00213774386793375,0.022404326125979424,30000
0.42650800943374634,-48.182945251464844,0.0,-82.33053588867188,48.10905456542969,47.637054443359375,0.39721041917800903,0.07479284703731537,0.39721041917800903,0.0029434445314109325,0.01906941831111908,40000
0.3924713730812073,-48.230133056640625,-6.306839942932129,-79.5854721069336,48.20552062988281,47.7376708984375,0.387641042470932,0.08020884543657303,0.387641042470932,0.0004425229271873832,0.020312558859586716,50000
0.37253835797309875,-49.64700698852539,0.0,-81.81534576416016,49.523582458496094,49.07905197143555,0.37474578619003296,0.06978633254766464,0.37474578619003296,0.004774646833539009,0.018884122371673584,60000
0.3341188430786133,-50.76959228515625,0.0,-78.00653839111328,50.80159378051758,50.35041046142578,0.38346320390701294,0.06771937757730484,0.38346320390701294,0.0028773287776857615,0.01853320747613907,70000
0.6939818859100342,-48.587257385253906,0.0,-87.05520629882812,48.516510009765625,48.022239685058594,0.43148234486579895,0.06278498470783234,0.43148234486579895,0.004278755746781826,0.01830853894352913,80000
0.357516348361969,-48.23405075073242,0.0,-79.37633514404297,48.3180046081543,47.865692138671875,0.38196322321891785,0.07034903764724731,0.38196322321891785,0.005920511670410633,0.017601491883397102,90000
0.5742651224136353,-49.89469528198242,0.0,-84.41175079345703,49.906463623046875,49.448081970214844,0.39340081810951233,0.06497953087091446,0.39340081810951233,0.007513899356126785,0.01848447695374489,100000
0.4490267038345337,-47.10265350341797,0.0,-82.84110260009766,47.01079177856445,46.55831527709961,0.3801059126853943,0.07237324863672256,0.3801059126853943,0.002192914020270109,0.01768820360302925,110000
0.418384850025177,-48.46588134765625,-9.533058166503906,-82.12821960449219,48.3494873046875,47.9041748046875,0.37659019231796265,0.06872282922267914,0.37659019231796265,0.0004667189787141979,0.017172589898109436,120000
0.6587919592857361,-50.63121795654297,0.0,-77.41651916503906,50.57607650756836,50.13664627075195,0.3694712519645691,0.06995709985494614,0.3694712519645691,-0.0037478776648640633,0.017003336921334267,130000
0.4049243628978729,-49.96232986450195,0.0,-86.39703369140625,50.03654479980469,49.616981506347656,0.3509809374809265,0.06857912987470627,0.3509809374809265,0.0013781412271782756,0.016905201599001884,140000
0.44477754831314087,-50.080116271972656,0.0,-81.69567108154297,50.07303237915039,49.659095764160156,0.34700435400009155,0.06693168729543686,0.34700435400009155,0.0011664179619401693,0.017004618421196938,150000
0.6164788007736206,-49.58316421508789,-2.2920351028442383,-82.09636688232422,49.65776443481445,49.24431228637695,0.3459237813949585,0.06752713024616241,0.3459237813949585,-0.001336631365120411,0.01660965383052826,160000
0.8043463230133057,-51.671104431152344,0.0,-86.30553436279297,51.82024383544922,51.39986038208008,0.3549060523509979,0.06548073887825012,0.3549060523509979,0.002398737706243992,0.017216825857758522,170000
0.4180960953235626,-49.926334381103516,0.0,-83.45741271972656,49.82822799682617,49.417938232421875,0.33885496854782104,0.07143371552228928,0.33885496854782104,-0.0056051756255328655,0.01705373078584671,180000
0.5053389668464661,-51.43423080444336,0.0,-86.20634460449219,51.4089241027832,50.994239807128906,0.3483661115169525,0.06631670147180557,0.3483661115169525,0.0044805798679590225,0.01673438586294651,190000
0.36141055822372437,-51.358741760253906,0.0,-86.73446655273438,51.158790588378906,50.75204086303711,0.34021371603012085,0.06653765588998795,0.34021371603012085,0.0005901621771045029,0.016689449548721313,200000
0.8566175699234009,-51.09344482421875,-2.7725155353546143,-82.04771423339844,50.9254264831543,50.48723220825195,0.36789125204086304,0.07030423730611801,0.36789125204086304,0.0011855134507641196,0.01668473891913891,210000
0.44171401858329773,-51.15774154663086,0.0,-88.97392272949219,51.15312576293945,50.75306701660156,0.32908058166503906,0.0709807500243187,0.32908058166503906,-0.005267719272524118,0.01621546410024166,220000
0.3439175486564636,-54.020103454589844,0.0,-86.40742492675781,53.98821258544922,53.56410598754883,0.35686758160591125,0.06723807752132416,0.35686758160591125,-0.0023458872456103563,0.016694361343979836,230000
0.4529046416282654,-54.16889190673828,-8.067617416381836,-85.7870864868164,53.96676254272461,53.553672790527344,0.34531670808792114,0.06777223199605942,0.34531670808792114,1.4414613360713702e-05,0.016690388321876526,240000
0.5620348453521729,-55.38833999633789,-1.9999165534973145,-87.65142059326172,55.29500961303711,54.889991760253906,0.3407619595527649,0.06425443291664124,0.3407619595527649,-0.0018177464371547103,0.016158591955900192,250000
