Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,step,Train_EpisodeReturn,Train_EpisodeLen,actor_loss,entropy,critic_loss,q_values,target_values,actor_lr,critic_lr,temperature
,,,,,2842,15.694853,20,,,,,,,,
,,,,,2860,8.725487,18,,,,,,,,
,,,,,2876,8.7754755,16,,,,,,,,
,,,,,2889,11.188524,13,,,,,,,,
,,,,,2915,23.356607,26,,,,,,,,
,,,,,2946,31.156109,31,,,,,,,,
,,,,,2963,14.111812,17,,,,,,,,
,,,,,2985,30.274544,22,,,,,,,,
,,,,,2996,8.167317,11,,,,,,,,
,,,,,3028,37.9439,32,,,,,,,,
,,,,,3041,5.9167113,13,,,,,,,,
,,,,,3072,35.169968,31,,,,,,,,
,,,,,3091,20.435299,19,,,,,,,,
,,,,,3110,17.00875,19,,,,,,,,
,,,,,3133,11.368342,23,,,,,,,,
,,,,,3152,18.418974,19,,,,,,,,
,,,,,3172,11.327464,20,,,,,,,,
,,,,,3184,10.785903,12,,,,,,,,
,,,,,3210,27.315496,26,,,,,,,,
,,,,,3226,12.237983,16,,,,,,,,
,,,,,3244,10.765916,18,,,,,,,,
,,,,,3264,12.674002,20,,,,,,,,
,,,,,3293,19.423084,29,,,,,,,,
,,,,,3307,12.964431,14,,,,,,,,
,,,,,3323,13.462144,16,,,,,,,,
,,,,,3341,7.077018,18,,,,,,,,
,,,,,3358,10.109803,17,,,,,,,,
,,,,,3374,10.669768,16,,,,,,,,
,,,,,3401,9.299851,27,,,,,,,,
,,,,,3478,104.938034,77,,,,,,,,
,,,,,3493,9.974477,15,,,,,,,,
,,,,,3507,10.573645,14,,,,,,,,
,,,,,3535,31.094206,28,,,,,,,,
,,,,,3568,34.66346,33,,,,,,,,
,,,,,3587,17.219505,19,,,,,,,,
,,,,,3610,26.230318,23,,,,,,,,
,,,,,3625,13.64369,15,,,,,,,,
,,,,,3642,7.303215,17,,,,,,,,
,,,,,3651,6.563438,9,,,,,,,,
,,,,,3678,27.221434,27,,,,,,,,
,,,,,3691,11.496753,13,,,,,,,,
,,,,,3714,19.265905,23,,,,,,,,
,,,,,3730,12.045264,16,,,,,,,,
,,,,,3754,22.668425,24,,,,,,,,
,,,,,3769,14.431889,15,,,,,,,,
,,,,,3785,11.684456,16,,,,,,,,
,,,,,3802,18.060472,17,,,,,,,,
,,,,,3815,12.337386,13,,,,,,,,
,,,,,3834,19.001326,19,,,,,,,,
,,,,,3847,9.006021,13,,,,,,,,
,,,,,3860,10.350979,13,,,,,,,,
,,,,,3887,12.156409,27,,,,,,,,
,,,,,3913,34.65117,26,,,,,,,,
,,,,,3963,57.491707,50,,,,,,,,
,,,,,3989,13.669846,26,,,,,,,,
,,,,,4027,24.51372,38,,,,,,,,
,,,,,4047,11.682336,20,,,,,,,,
,,,,,4059,7.228076,12,,,,,,,,
,,,,,4073,7.346566,14,,,,,,,,
,,,,,4091,11.234326,18,,,,,,,,
,,,,,4107,5.671466,16,,,,,,,,
,,,,,4119,8.750351,12,,,,,,,,
,,,,,4155,23.155811,36,,,,,,,,
,,,,,4170,12.032563,15,,,,,,,,
,,,,,4188,11.617349,18,,,,,,,,
,,,,,4210,14.522336,22,,,,,,,,
,,,,,4220,7.4514623,10,,,,,,,,
,,,,,4236,9.983487,16,,,,,,,,
,,,,,4277,41.884346,41,,,,,,,,
,,,,,4291,14.22278,14,,,,,,,,
,,,,,4325,36.81383,34,,,,,,,,
,,,,,4341,10.172238,16,,,,,,,,
,,,,,4357,11.879445,16,,,,,,,,
,,,,,4367,5.907775,10,,,,,,,,
,,,,,4380,9.722026,13,,,,,,,,
,,,,,4393,11.800428,13,,,,,,,,
,,,,,4404,9.0704155,11,,,,,,,,
,,,,,4452,37.93121,48,,,,,,,,
,,,,,4465,9.188455,13,,,,,,,,
,,,,,4474,6.6965137,9,,,,,,,,
,,,,,4491,13.505584,17,,,,,,,,
,,,,,4512,13.358859,21,,,,,,,,
,,,,,4523,7.3390017,11,,,,,,,,
,,,,,4552,19.81377,29,,,,,,,,
,,,,,4576,21.27908,24,,,,,,,,
,,,,,4590,6.3885546,14,,,,,,,,
,,,,,4606,15.141819,16,,,,,,,,
,,,,,4632,10.910889,26,,,,,,,,
,,,,,4654,17.769295,22,,,,,,,,
,,,,,4671,11.838339,17,,,,,,,,
,,,,,4687,14.706573,16,,,,,,,,
,,,,,4697,7.391911,10,,,,,,,,
,,,,,4707,6.735942,10,,,,,,,,
,,,,,4786,143.42285,79,,,,,,,,
,,,,,4795,6.701234,9,,,,,,,,
,,,,,4804,6.7058415,9,,,,,,,,
,,,,,4872,104.74356,68,,,,,,,,
,,,,,4882,8.176188,10,,,,,,,,
,,,,,4949,100.865105,67,,,,,,,,
,,,,,4962,9.796663,13,,,,,,,,
,,,,,4975,13.1078615,13,,,,,,,,
,,,,,4998,13.292722,23,,,,,,,,
22.436092,19.264275,75.26193,8.238991,27.7,5000,,,,,,,,,,
,,,,,5020,15.585262,22,,,,,,,,
,,,,,5067,21.549778,47,,,,,,,,
,,,,,5098,43.422718,31,,,,,,,,
,,,,,5116,12.352425,18,,,,,,,,
,,,,,5138,12.359346,22,,,,,,,,
,,,,,5166,38.358967,28,,,,,,,,
,,,,,5190,15.567636,24,,,,,,,,
,,,,,5204,13.053342,14,,,,,,,,
,,,,,5221,12.755514,17,,,,,,,,
,,,,,5247,19.856703,26,,,,,,,,
,,,,,5274,14.578646,27,,,,,,,,
,,,,,5286,11.131206,12,,,,,,,,
,,,,,5305,11.982998,19,,,,,,,,
,,,,,5317,10.717163,12,,,,,,,,
,,,,,5328,8.865767,11,,,,,,,,
,,,,,5347,15.213998,19,,,,,,,,
,,,,,5368,11.507244,21,,,,,,,,
,,,,,5385,15.684542,17,,,,,,,,
,,,,,5407,28.267654,22,,,,,,,,
,,,,,5440,36.638073,33,,,,,,,,
,,,,,5466,29.518456,26,,,,,,,,
,,,,,5484,12.441972,18,,,,,,,,
,,,,,5505,14.733566,21,,,,,,,,
,,,,,5545,43.34008,40,,,,,,,,
,,,,,5565,15.957338,20,,,,,,,,
,,,,,5581,11.687787,16,,,,,,,,
,,,,,5596,16.052559,15,,,,,,,,
,,,,,5617,25.316782,21,,,,,,,,
,,,,,5639,19.834507,22,,,,,,,,
,,,,,5658,14.145281,19,,,,,,,,
,,,,,5690,16.980057,32,,,,,,,,
,,,,,5703,12.581633,13,,,,,,,,
,,,,,5722,14.865204,19,,,,,,,,
,,,,,5739,15.946673,17,,,,,,,,
,,,,,5767,26.847364,28,,,,,,,,
,,,,,5788,12.66253,21,,,,,,,,
,,,,,5807,18.27146,19,,,,,,,,
,,,,,5822,11.785902,15,,,,,,,,
,,,,,5842,18.193352,20,,,,,,,,
,,,,,5867,21.044914,25,,,,,,,,
,,,,,5881,13.973578,14,,,,,,,,
,,,,,5896,12.443203,15,,,,,,,,
,,,,,5918,24.8585,22,,,,,,,,
,,,,,5954,17.03446,36,,,,,,,,
,,,,,5978,14.497718,24,,,,,,,,
,,,,,5989,9.641323,11,,,,,,,,
,,,,,6000,9.699052,11,,,,,,,,
,,,,,6054,83.98189,54,,,,,,,,
,,,,,6093,12.772002,39,,,,,,,,
,,,,,6116,19.684288,23,,,,,,,,
,,,,,6132,10.418076,16,,,,,,,,
,,,,,6154,21.658484,22,,,,,,,,
,,,,,6218,99.88885,64,,,,,,,,
,,,,,6248,21.37635,30,,,,,,,,
,,,,,6261,11.415765,13,,,,,,,,
,,,,,6282,17.126242,21,,,,,,,,
,,,,,6294,6.848019,12,,,,,,,,
,,,,,6308,7.977744,14,,,,,,,,
,,,,,6350,34.266434,42,,,,,,,,
,,,,,6362,8.799558,12,,,,,,,,
,,,,,6384,21.629923,22,,,,,,,,
,,,,,6404,23.37251,20,,,,,,,,
,,,,,6440,37.87493,36,,,,,,,,
,,,,,6462,22.803524,22,,,,,,,,
,,,,,6478,13.091151,16,,,,,,,,
,,,,,6491,12.834292,13,,,,,,,,
,,,,,6503,11.219623,12,,,,,,,,
,,,,,6518,8.428448,15,,,,,,,,
,,,,,6551,26.996828,33,,,,,,,,
,,,,,6573,21.281277,22,,,,,,,,
,,,,,6589,15.853125,16,,,,,,,,
