Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,step,Train_EpisodeReturn,Train_EpisodeLen,critic_loss,q_values,target_values,grad_norm,epsilon,lr
,,,,,41556,420.0,2394,,,,,,
,,,,,42000,,,3.730900764465332,4.615223407745361,4.872726917266846,48.15842056274414,0.9546250000000001,9.97915625e-05
,,,,,42066,260.0,2050,,,,,,
,,,,,42474,160.0,1658,,,,,,
,,,,,42969,270.0,2002,,,,,,
,,,,,43000,,,6.024609565734863,4.893024921417236,4.475784778594971,86.54102325439453,0.9525625,9.968739583333334e-05
,,,,,43369,110.0,1618,,,,,,
,,,,,43794,190.0,1722,,,,,,
,,,,,44000,,,7.3855414390563965,6.90725564956665,5.955647945404053,202.82872009277344,0.9505,9.958322916666667e-05
,,,,,44250,190.0,1842,,,,,,
,,,,,44668,290.0,1698,,,,,,
,,,,,45000,,,17.073768615722656,7.44497013092041,7.937567234039307,116.36164855957031,0.9484375,9.947906250000001e-05
,,,,,45138,350.0,1882,,,,,,
,,,,,45584,210.0,1802,,,,,,
,,,,,46000,,,7.909005165100098,6.748692512512207,6.564981937408447,128.4017333984375,0.946375,9.937489583333334e-05
,,,,,46103,240.0,2082,,,,,,
,,,,,46566,340.0,1866,,,,,,
,,,,,47000,,,12.763348579406738,6.780933380126953,8.123861312866211,224.3736114501953,0.9443125,9.927072916666668e-05
,,,,,47106,200.0,2170,,,,,,
,,,,,47603,270.0,1986,,,,,,
,,,,,48000,,,6.016415119171143,9.207111358642578,8.993997573852539,115.40181732177734,0.94225,9.916656250000001e-05
,,,,,48077,320.0,1922,,,,,,
,,,,,48523,180.0,1794,,,,,,
,,,,,49000,,,38.92640686035156,12.010807991027832,13.445735931396484,346.77203369140625,0.9401875,9.906239583333335e-05
,,,,,49249,950.0,2914,,,,,,
,,,,,49669,190.0,1690,,,,,,
648.0,157.65785,780.0,340.0,2675.6,50000,,,10.3225679397583,13.788224220275879,11.990535736083984,493.9223937988281,0.938125,9.895822916666668e-05
,,,,,50083,220.0,1658,,,,,,
,,,,,50509,230.0,1730,,,,,,
,,,,,51000,,,5.065747261047363,12.551067352294922,12.719635009765625,84.41545104980469,0.9360625,9.88540625e-05
,,,,,51019,230.0,2058,,,,,,
,,,,,51464,220.0,1778,,,,,,
,,,,,51972,160.0,2058,,,,,,
,,,,,52000,,,11.396998405456543,13.533915519714355,13.562093734741211,183.83486938476562,0.9339999999999999,9.874989583333334e-05
,,,,,52458,290.0,1962,,,,,,
,,,,,52846,260.0,1562,,,,,,
,,,,,53000,,,8.48239517211914,12.713053703308105,12.888921737670898,138.1984100341797,0.9319375,9.864572916666666e-05
,,,,,53348,290.0,2034,,,,,,
,,,,,53904,220.0,2234,,,,,,
,,,,,54000,,,5.256612300872803,11.584853172302246,11.001066207885742,162.61094665527344,0.929875,9.85415625e-05
,,,,,54378,290.0,1922,,,,,,
,,,,,55000,,,10.315098762512207,13.650703430175781,14.287871360778809,160.0909881591797,0.9278125,9.843739583333333e-05
,,,,,55032,1070.0,2634,,,,,,
,,,,,55704,420.0,2714,,,,,,
,,,,,56000,,,35.097286224365234,15.167301177978516,16.167774200439453,584.5185546875,0.92575,9.833322916666668e-05
,,,,,56336,350.0,2554,,,,,,
,,,,,56841,320.0,2026,,,,,,
,,,,,57000,,,26.1899356842041,16.505226135253906,16.395662307739258,292.6116638183594,0.9236875,9.82290625e-05
,,,,,57277,210.0,1746,,,,,,
,,,,,57676,240.0,1602,,,,,,
,,,,,58000,,,9.881954193115234,14.288217544555664,14.989402770996094,149.4833221435547,0.921625,9.812489583333335e-05
,,,,,58479,500.0,3218,,,,,,
,,,,,58909,140.0,1730,,,,,,
,,,,,59000,,,7.065545082092285,14.937322616577148,15.399063110351562,204.50680541992188,0.9195625000000001,9.802072916666668e-05
,,,,,59452,260.0,2194,,,,,,
,,,,,59961,200.0,2034,,,,,,
235.0,15.0,280.0,230.0,1894.8,60000,,,4.982694625854492,11.641668319702148,11.393420219421387,115.33120727539062,0.9175,9.79165625e-05
,,,,,60370,130.0,1658,,,,,,
,,,,,60963,280.0,2386,,,,,,
,,,,,61000,,,12.953746795654297,16.667098999023438,17.245920181274414,271.6414489746094,0.9154375,9.781239583333333e-05
,,,,,61387,220.0,1698,,,,,,
,,,,,61763,130.0,1530,,,,,,
,,,,,62000,,,55.60114669799805,13.742636680603027,14.773843765258789,378.2754211425781,0.913375,9.770822916666668e-05
,,,,,62278,270.0,2058,,,,,,
,,,,,62658,190.0,1530,,,,,,
,,,,,63000,,,11.978754043579102,15.889591217041016,16.365447998046875,319.68695068359375,0.9113125,9.76040625e-05
,,,,,63077,280.0,1698,,,,,,
,,,,,63686,280.0,2458,,,,,,
,,,,,64000,,,8.281550407409668,14.487123489379883,14.815250396728516,173.69410705566406,0.90925,9.749989583333335e-05
,,,,,64173,190.0,1970,,,,,,
,,,,,64654,230.0,1938,,,,,,
,,,,,65000,,,6.0616068840026855,17.496477127075195,17.629732131958008,133.70187377929688,0.9071875,9.739572916666667e-05
,,,,,65050,190.0,1586,,,,,,
,,,,,65596,280.0,2186,,,,,,
,,,,,66000,,,6.327605247497559,17.52197265625,17.174556732177734,198.97950744628906,0.905125,9.72915625e-05
,,,,,66113,280.0,2082,,,,,,
