Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,Train_AverageReturn,Train_StdReturn,Train_MaxReturn,Train_MinReturn,Train_AverageEpLen,Actor Loss,Baseline Loss,Train_EnvstepsSoFar,TimeSinceStart,Initial_DataCollection_AverageReturn,step
-161.35771,97.691055,-41.76784,-410.88123,83.625,-176.55196,77.58068,-83.17298,-373.4882,89.1304347826087,-134.22457885742188,10404.03515625,2050,1.6768767833709717,-176.55196,0
-187.37091,112.22625,-53.344933,-516.7119,91.95454545454545,-189.58675,110.3395,-13.20768,-390.32013,89.78260869565217,-134.51577758789062,12358.2353515625,4115,3.618711471557617,,1
-152.85725,58.989758,-80.98035,-281.56546,89.17391304347827,-151.79861,95.53905,26.838348,-388.51038,88.34782608695652,-100.53089904785156,7516.37158203125,6147,5.3679046630859375,,2
-133.54504,62.16612,2.8234787,-318.84427,83.54166666666667,-166.87529,101.46073,-23.01093,-463.17722,89.43478260869566,-107.57556915283203,9291.3671875,8204,7.104648590087891,,3
-170.7429,80.71529,-45.10807,-342.9051,95.95238095238095,-118.249405,48.42436,-11.6186905,-214.52919,91.65217391304348,-63.77096939086914,3115.822265625,10312,8.877574682235718,,4
-142.04805,53.221806,-78.181076,-304.975,91.17391304347827,-144.70934,95.00565,60.8957,-315.07095,131.71428571428572,-49.00864791870117,4719.6181640625,13078,11.464099645614624,,5
-177.0701,71.05794,-77.71062,-339.42078,101.0,-134.85516,81.96075,-20.29202,-397.6989,87.17391304347827,-70.16044616699219,4822.99755859375,15083,13.183938980102539,,6
-125.07735,70.7678,25.920883,-330.3383,93.13636363636364,-141.6115,84.95377,45.00894,-422.71155,85.625,-73.0225830078125,5813.8720703125,17138,14.951416492462158,,7
-152.789,72.398285,-51.463387,-375.14825,94.31818181818181,-147.51811,60.043556,-79.19711,-288.68658,91.26086956521739,-72.71337127685547,3742.532470703125,19237,16.748862266540527,,8
-164.1352,74.62033,-21.745796,-356.01678,98.76190476190476,-143.01263,65.0174,10.969826,-278.79858,100.3,-58.604888916015625,3328.09130859375,21243,18.456358432769775,,9
-136.25566,54.3112,-74.77735,-322.7997,85.125,-121.26,42.474213,0.51612854,-190.55917,91.0,-40.295902252197266,2043.5911865234375,23245,20.151535511016846,,10
-147.86574,56.954903,-70.74769,-321.83005,105.85,-134.71971,51.259518,-63.16342,-264.638,96.5,-48.83189392089844,2342.56005859375,25368,21.97652506828308,,11
-134.14948,64.217865,1.9183502,-353.44238,92.0909090909091,-127.53534,73.79015,-16.239883,-346.5173,88.82608695652173,-47.2830696105957,3073.697998046875,27411,23.663288116455078,,12
-137.09053,36.00199,-76.51994,-212.4053,87.21739130434783,-167.98256,78.37875,-85.65765,-388.10068,96.0909090909091,-72.2381591796875,4874.10595703125,29525,25.374528408050537,,13
-135.29442,52.390396,-18.413162,-270.30682,93.18181818181819,-124.27033,56.397427,-15.026283,-299.6651,91.72727272727273,-34.75841522216797,1627.602783203125,31543,27.121407985687256,,14
-132.93675,71.2001,64.56257,-242.8621,160.3125,-132.32466,48.079586,-65.28192,-270.59534,87.91666666666667,-44.970550537109375,1677.2772216796875,33653,29.66564702987671,,15
-118.03206,50.53405,-18.485786,-244.22157,89.82608695652173,-132.88785,50.27775,-63.907925,-285.57956,100.4,-32.75440216064453,1482.5277099609375,35661,31.416817665100098,,16
-147.26433,52.427986,-65.41345,-262.4322,111.94444444444444,-145.28885,58.587444,-84.908844,-315.73596,97.76190476190476,-45.146034240722656,2342.99462890625,37714,33.20311164855957,,17
-127.863625,50.54639,-79.852715,-337.909,89.78260869565217,-117.38845,43.316105,-66.76867,-239.29108,96.85714285714286,-14.591046333312988,705.170654296875,39748,34.95026445388794,,18
-132.57928,61.98468,-37.512047,-303.71106,101.8,-128.1065,59.586533,-8.017975,-269.53516,91.9090909090909,-28.844194412231445,1794.6522216796875,41770,36.658132553100586,,19
