Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,step,Train_EpisodeReturn,Train_EpisodeLen,critic_loss,q_values,target_values,grad_norm,epsilon,lr
31.9,8.3,50.0,22.0,31.9,0,,,,,,,,
,,,,,16,17.0,17,,,,,,
,,,,,36,20.0,20,,,,,,
,,,,,55,19.0,19,,,,,,
,,,,,97,42.0,42,,,,,,
,,,,,107,10.0,10,,,,,,
,,,,,119,12.0,12,,,,,,
,,,,,133,14.0,14,,,,,,
,,,,,152,19.0,19,,,,,,
,,,,,177,25.0,25,,,,,,
,,,,,195,18.0,18,,,,,,
,,,,,214,19.0,19,,,,,,
,,,,,241,27.0,27,,,,,,
,,,,,263,22.0,22,,,,,,
,,,,,302,39.0,39,,,,,,
,,,,,320,18.0,18,,,,,,
,,,,,360,40.0,40,,,,,,
,,,,,371,11.0,11,,,,,,
,,,,,387,16.0,16,,,,,,
,,,,,409,22.0,22,,,,,,
,,,,,443,34.0,34,,,,,,
,,,,,471,28.0,28,,,,,,
,,,,,485,14.0,14,,,,,,
,,,,,503,18.0,18,,,,,,
,,,,,520,17.0,17,,,,,,
,,,,,563,43.0,43,,,,,,
,,,,,583,20.0,20,,,,,,
,,,,,607,24.0,24,,,,,,
,,,,,629,22.0,22,,,,,,
,,,,,645,16.0,16,,,,,,
,,,,,661,16.0,16,,,,,,
,,,,,677,16.0,16,,,,,,
,,,,,694,17.0,17,,,,,,
,,,,,730,36.0,36,,,,,,
,,,,,743,13.0,13,,,,,,
,,,,,777,34.0,34,,,,,,
,,,,,801,24.0,24,,,,,,
,,,,,811,10.0,10,,,,,,
,,,,,832,21.0,21,,,,,,
,,,,,846,14.0,14,,,,,,
,,,,,857,11.0,11,,,,,,
,,,,,866,9.0,9,,,,,,
,,,,,886,20.0,20,,,,,,
,,,,,896,10.0,10,,,,,,
,,,,,943,47.0,47,,,,,,
,,,,,987,44.0,44,,,,,,
,,,,,1000,,,1.0801262855529785,0.07075656205415726,1.1045551300048828,2.7944860458374023,0.97,0.0005
,,,,,1012,25.0,25,,,,,,
,,,,,1046,34.0,34,,,,,,
,,,,,1061,15.0,15,,,,,,
,,,,,1097,36.0,36,,,,,,
,,,,,1115,18.0,18,,,,,,
,,,,,1133,18.0,18,,,,,,
,,,,,1168,35.0,35,,,,,,
,,,,,1187,19.0,19,,,,,,
,,,,,1211,24.0,24,,,,,,
,,,,,1227,16.0,16,,,,,,
,,,,,1239,12.0,12,,,,,,
,,,,,1272,33.0,33,,,,,,
,,,,,1321,49.0,49,,,,,,
,,,,,1354,33.0,33,,,,,,
,,,,,1375,21.0,21,,,,,,
,,,,,1395,20.0,20,,,,,,
,,,,,1407,12.0,12,,,,,,
,,,,,1420,13.0,13,,,,,,
,,,,,1448,28.0,28,,,,,,
,,,,,1463,15.0,15,,,,,,
,,,,,1477,14.0,14,,,,,,
,,,,,1497,20.0,20,,,,,,
,,,,,1509,12.0,12,,,,,,
,,,,,1552,43.0,43,,,,,,
,,,,,1563,11.0,11,,,,,,
,,,,,1582,19.0,19,,,,,,
,,,,,1635,53.0,53,,,,,,
,,,,,1659,24.0,24,,,,,,
,,,,,1674,15.0,15,,,,,,
,,,,,1686,12.0,12,,,,,,
,,,,,1710,24.0,24,,,,,,
,,,,,1734,24.0,24,,,,,,
,,,,,1746,12.0,12,,,,,,
,,,,,1806,60.0,60,,,,,,
,,,,,1819,13.0,13,,,,,,
,,,,,1836,17.0,17,,,,,,
,,,,,1850,14.0,14,,,,,,
,,,,,1889,39.0,39,,,,,,
,,,,,1922,33.0,33,,,,,,
,,,,,1937,15.0,15,,,,,,
,,,,,2000,,,0.003539562691003084,1.1387085914611816,1.135793685913086,0.07078813761472702,0.94,0.0005
,,,,,2003,66.0,66,,,,,,
,,,,,2027,24.0,24,,,,,,
,,,,,2038,11.0,11,,,,,,
,,,,,2060,22.0,22,,,,,,
,,,,,2084,24.0,24,,,,,,
,,,,,2099,15.0,15,,,,,,
,,,,,2111,12.0,12,,,,,,
,,,,,2125,14.0,14,,,,,,
,,,,,2145,20.0,20,,,,,,
,,,,,2157,12.0,12,,,,,,
,,,,,2167,10.0,10,,,,,,
,,,,,2187,20.0,20,,,,,,
,,,,,2206,19.0,19,,,,,,
,,,,,2228,22.0,22,,,,,,
,,,,,2262,34.0,34,,,,,,
,,,,,2279,17.0,17,,,,,,
,,,,,2290,11.0,11,,,,,,
,,,,,2303,13.0,13,,,,,,
,,,,,2320,17.0,17,,,,,,
,,,,,2338,18.0,18,,,,,,
,,,,,2348,10.0,10,,,,,,
,,,,,2357,9.0,9,,,,,,
,,,,,2372,15.0,15,,,,,,
,,,,,2446,74.0,74,,,,,,
,,,,,2465,19.0,19,,,,,,
,,,,,2488,23.0,23,,,,,,
9.5,0.5,10.0,9.0,9.5,2500,,,0.03616243600845337,2.1133787631988525,2.111290216445923,0.1425492912530899,0.925,0.0005
,,,,,2512,24.0,24,,,,,,
,,,,,2532,20.0,20,,,,,,
,,,,,2544,12.0,12,,,,,,
,,,,,2564,20.0,20,,,,,,
,,,,,2582,18.0,18,,,,,,
,,,,,2616,34.0,34,,,,,,
,,,,,2630,14.0,14,,,,,,
,,,,,2640,10.0,10,,,,,,
,,,,,2652,12.0,12,,,,,,
,,,,,2663,11.0,11,,,,,,
,,,,,2675,12.0,12,,,,,,
,,,,,2758,83.0,83,,,,,,
,,,,,2783,25.0,25,,,,,,
,,,,,2796,13.0,13,,,,,,
,,,,,2822,26.0,26,,,,,,
,,,,,2841,19.0,19,,,,,,
,,,,,2856,15.0,15,,,,,,
,,,,,2867,11.0,11,,,,,,
,,,,,2883,16.0,16,,,,,,
,,,,,2915,32.0,32,,,,,,
,,,,,2930,15.0,15,,,,,,
,,,,,2945,15.0,15,,,,,,
,,,,,2968,23.0,23,,,,,,
,,,,,2994,26.0,26,,,,,,
,,,,,3000,,,0.04485349729657173,2.1309401988983154,2.124662399291992,0.07513033598661423,0.91,0.0005
,,,,,3008,14.0,14,,,,,,
,,,,,3022,14.0,14,,,,,,
,,,,,3036,14.0,14,,,,,,
,,,,,3049,13.0,13,,,,,,
,,,,,3066,17.0,17,,,,,,
,,,,,3094,28.0,28,,,,,,
,,,,,3116,22.0,22,,,,,,
,,,,,3137,21.0,21,,,,,,
,,,,,3160,23.0,23,,,,,,
,,,,,3173,13.0,13,,,,,,
,,,,,3211,38.0,38,,,,,,
,,,,,3239,28.0,28,,,,,,
,,,,,3270,31.0,31,,,,,,
,,,,,3284,14.0,14,,,,,,
,,,,,3299,15.0,15,,,,,,
,,,,,3317,18.0,18,,,,,,
,,,,,3341,24.0,24,,,,,,
,,,,,3353,12.0,12,,,,,,
,,,,,3366,13.0,13,,,,,,
,,,,,3421,55.0,55,,,,,,
,,,,,3434,13.0,13,,,,,,
,,,,,3473,39.0,39,,,,,,
,,,,,3488,15.0,15,,,,,,
,,,,,3505,17.0,17,,,,,,
,,,,,3528,23.0,23,,,,,,
,,,,,3563,35.0,35,,,,,,
,,,,,3577,14.0,14,,,,,,
,,,,,3587,10.0,10,,,,,,
,,,,,3600,13.0,13,,,,,,
,,,,,3612,12.0,12,,,,,,
,,,,,3629,17.0,17,,,,,,
,,,,,3656,27.0,27,,,,,,
,,,,,3671,15.0,15,,,,,,
,,,,,3686,15.0,15,,,,,,
,,,,,3702,16.0,16,,,,,,
,,,,,3712,10.0,10,,,,,,
,,,,,3726,14.0,14,,,,,,
,,,,,3737,11.0,11,,,,,,
,,,,,3788,51.0,51,,,,,,
,,,,,3820,32.0,32,,,,,,
,,,,,3846,26.0,26,,,,,,
,,,,,3860,14.0,14,,,,,,
,,,,,3879,19.0,19,,,,,,
,,,,,3896,17.0,17,,,,,,
,,,,,3916,20.0,20,,,,,,
,,,,,3938,22.0,22,,,,,,
,,,,,3952,14.0,14,,,,,,
,,,,,3975,23.0,23,,,,,,
,,,,,4000,,,0.0811566710472107,3.0451693534851074,3.071293830871582,0.21765409409999847,0.88,0.0005
,,,,,4004,29.0,29,,,,,,
,,,,,4016,12.0,12,,,,,,
,,,,,4047,31.0,31,,,,,,
,,,,,4079,32.0,32,,,,,,
,,,,,4126,47.0,47,,,,,,
,,,,,4156,30.0,30,,,,,,
,,,,,4175,19.0,19,,,,,,
,,,,,4187,12.0,12,,,,,,
,,,,,4211,24.0,24,,,,,,
,,,,,4231,20.0,20,,,,,,
,,,,,4295,64.0,64,,,,,,
,,,,,4333,38.0,38,,,,,,
,,,,,4363,30.0,30,,,,,,
,,,,,4385,22.0,22,,,,,,
,,,,,4406,21.0,21,,,,,,
,,,,,4434,28.0,28,,,,,,
,,,,,4463,29.0,29,,,,,,
,,,,,4481,18.0,18,,,,,,
,,,,,4515,34.0,34,,,,,,
,,,,,4562,47.0,47,,,,,,
,,,,,4576,14.0,14,,,,,,
,,,,,4599,23.0,23,,,,,,
,,,,,4615,16.0,16,,,,,,
,,,,,4679,64.0,64,,,,,,
,,,,,4693,14.0,14,,,,,,
,,,,,4719,26.0,26,,,,,,
,,,,,4771,52.0,52,,,,,,
,,,,,4808,37.0,37,,,,,,
,,,,,4827,19.0,19,,,,,,
,,,,,4849,22.0,22,,,,,,
,,,,,4906,57.0,57,,,,,,
,,,,,4930,24.0,24,,,,,,
,,,,,4948,18.0,18,,,,,,
,,,,,4975,27.0,27,,,,,,
95.1,46.7535,182.0,49.0,95.1,5000,,,0.09873629361391068,3.886573553085327,3.919003963470459,0.3848215639591217,0.85,0.0005
,,,,,5010,35.0,35,,,,,,
,,,,,5026,16.0,16,,,,,,
