Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,Train_AverageReturn,Train_StdReturn,Train_MaxReturn,Train_MinReturn,Train_AverageEpLen,Actor Loss,Baseline Loss,Train_EnvstepsSoFar,TimeSinceStart,Initial_DataCollection_AverageReturn,step
-216.07777,133.69952,-15.768646,-514.9,91.18181818181819,-164.67474,102.79253,29.163742,-434.0527,90.1304347826087,-39.600521087646484,10750.0498046875,2073,2.6383087635040283,-164.67474,0
-168.8245,132.68533,22.517677,-573.6183,94.13636363636364,-187.04138,107.75361,-58.773376,-430.9906,91.52173913043478,-41.33837127685547,11690.0283203125,4178,5.155982255935669,,1
-164.80942,102.44975,-49.92675,-406.33707,105.84210526315789,-158.71857,87.86791,9.441956,-398.60788,91.95454545454545,-32.480316162109375,7441.53955078125,6201,7.198876619338989,,2
-143.13596,80.004265,-48.91364,-356.84155,102.3,-176.6182,79.0063,-66.12377,-356.51022,97.47619047619048,-32.55971145629883,7166.74658203125,8248,9.278053045272827,,3
-171.25978,114.099556,-37.0995,-509.98157,111.5,-181.85316,130.75739,-53.542374,-556.6924,105.57894736842105,-31.51665496826172,10893.1240234375,10254,11.565828561782837,,4
-141.21765,100.33534,-10.804909,-414.5705,106.15789473684211,-182.88309,96.0937,-45.978138,-392.79962,108.94736842105263,-26.523996353149414,6385.720703125,12324,13.709238052368164,,5
-118.581055,63.121323,-12.10022,-295.55807,111.83333333333333,-153.4355,94.665535,-54.049477,-476.72742,107.42105263157895,-21.164323806762695,4714.1611328125,14365,15.829773187637329,,6
-118.47067,65.186005,-21.737091,-265.14404,91.9090909090909,-136.55237,78.73841,-0.9607601,-366.59225,98.28571428571429,-19.0118465423584,4138.5595703125,16429,17.885660648345947,,7
-110.591736,35.692226,-50.733315,-180.08867,102.7,-132.7905,68.13363,-0.7336464,-247.00537,106.05263157894737,-14.665996551513672,2784.03173828125,18444,20.00036072731018,,8
-129.20374,57.61025,2.1094055,-218.9371,121.52941176470588,-129.22455,69.66214,-35.57061,-333.0991,110.73684210526316,-11.944223403930664,2382.357666015625,20548,22.22161316871643,,9
-147.11667,77.99285,-14.148186,-350.6063,112.27777777777777,-162.31342,73.37749,-57.652203,-297.90186,112.66666666666667,-16.8397159576416,3474.86328125,22576,25.766375064849854,,10
-118.97296,61.941353,-27.360962,-249.97528,121.3529411764706,-125.873604,63.86361,-45.063576,-286.66068,123.88235294117646,-7.696780204772949,2119.607177734375,24682,29.386637687683105,,11
-135.79654,58.61426,-55.7932,-249.57712,128.625,-111.85919,92.10073,61.87095,-272.04776,210.7,1.2797707319259644,2340.493896484375,26789,43.67731809616089,,12
-93.59609,63.4873,20.963017,-244.74734,117.27777777777777,-124.92456,86.6629,-16.941223,-322.73123,127.1875,-6.690509796142578,2233.5400390625,28824,52.957743406295776,,13
-131.73439,48.73496,-59.072914,-232.10704,144.42857142857142,-67.90123,70.00321,108.89331,-153.93167,205.0,5.576606273651123,2180.564697265625,30874,65.70309448242188,,14
-130.82054,88.94308,21.1745,-366.38074,122.58823529411765,-169.6195,89.18553,-45.748,-327.7808,123.41176470588235,-14.114253044128418,3354.237548828125,32972,75.86647033691406,,15
-119.195755,77.10073,0.9216614,-272.42438,150.28571428571428,-137.9156,112.79356,-1.3591385,-390.26962,144.92857142857142,-4.132352352142334,2823.7265625,35001,89.26747488975525,,16
-112.77741,86.48333,-0.4110031,-311.89554,142.13333333333333,-148.25984,110.426865,-44.036392,-419.2397,144.13333333333333,-6.30061674118042,3397.81787109375,37163,103.85368156433105,,17
-63.396736,46.48801,9.845425,-149.99915,132.0625,-92.68437,73.55347,15.824303,-292.38663,144.71428571428572,1.5101276636123657,1506.4461669921875,39189,115.51180362701416,,18
-98.749146,56.379063,0.84020233,-266.7021,130.875,-105.78706,77.66438,19.14418,-281.15173,145.92857142857142,0.966594934463501,2085.5302734375,41232,127.6730945110321,,19
-73.72392,41.361538,-12.970734,-161.64433,121.88235294117646,-57.713886,61.7422,84.70041,-140.32175,212.5,8.271312713623047,2370.416748046875,43782,142.723726272583,,20
-70.22855,75.19018,10.877427,-240.05887,166.66666666666666,-84.34148,51.888878,-14.16246,-211.18199,112.94736842105263,1.597434639930725,1248.1846923828125,45928,154.63058042526245,,21
-62.564262,37.633068,-11.584496,-178.63235,131.625,-81.54918,72.8367,25.54419,-296.9209,118.58823529411765,2.2039248943328857,2348.5400390625,47944,164.4723310470581,,22
-90.168816,70.6244,23.393967,-240.77727,157.46153846153845,-51.037243,23.18485,-16.403091,-102.38266,133.4,7.024977684020996,1082.6063232421875,49945,173.9105167388916,,23
-84.95956,65.1383,-3.3590393,-201.77417,148.64285714285714,-46.74693,54.959194,39.207993,-171.05739,139.8,7.073264122009277,1496.7978515625,52042,185.22273206710815,,24
-62.693455,65.58986,4.2970953,-219.88286,161.3846153846154,-83.05041,80.92549,3.2482986,-246.51688,160.0,3.012993097305298,1515.8543701171875,54122,196.00927639007568,,25
