Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,Train_AverageReturn,Train_StdReturn,Train_MaxReturn,Train_MinReturn,Train_AverageEpLen,Actor Loss,Baseline Loss,Train_EnvstepsSoFar,TimeSinceStart,Initial_DataCollection_AverageReturn,step
-181.496,132.25133,0.9690552,-552.6278,91.95454545454545,-156.58905,86.512886,-26.216454,-382.77954,83.875,-2.586761236190796,8613.0009765625,2013,1.6786823272705078,-156.58905,0
-130.86403,83.77631,1.0597076,-369.4082,84.91666666666667,-181.70435,137.11766,-58.62533,-555.95703,94.04545454545455,-2.4736857414245605,13047.9912109375,4082,3.660679340362549,,1
-185.62039,104.002304,-60.35633,-379.86572,98.66666666666667,-167.02261,83.90268,-37.27819,-304.39874,104.85,-1.9642534255981445,7716.31494140625,6179,5.507819652557373,,2
-205.56213,114.7747,29.152084,-413.247,110.26315789473684,-194.87361,147.0042,-4.810898,-569.85144,105.57894736842105,-2.308861255645752,13945.1025390625,8185,7.300932168960571,,3
-222.72035,92.89418,-29.013733,-393.80978,116.05555555555556,-185.17744,117.9763,-41.53007,-429.18576,114.5,-1.8610999584197998,8593.47265625,10246,9.14938473701477,,4
-269.83923,149.99661,54.692368,-484.47302,121.70588235294117,-240.14404,156.96321,11.91012,-522.2193,199.36363636363637,-1.062393307685852,8745.6884765625,12439,12.033629179000854,,5
-291.12787,174.65642,-17.26619,-612.7398,128.0,-351.59326,134.12015,-120.66243,-667.0266,131.1875,-2.6899712085723877,22385.517578125,14538,13.894671201705933,,6
-257.1275,160.47173,20.471725,-602.74274,130.375,-237.27234,132.09798,-41.040726,-518.71606,120.76470588235294,-1.9818755388259888,11788.3056640625,16591,15.718681812286377,,7
-273.59543,137.30264,-43.885757,-451.76617,138.0625,-285.95944,162.50554,-64.48888,-526.1633,133.53333333333333,-1.9558513164520264,15288.080078125,18594,17.6333167552948,,8
-207.84561,128.1697,-13.656563,-385.92487,122.29411764705883,-240.59885,171.01543,-26.340714,-527.6753,126.125,-1.8306971788406372,10619.701171875,20612,19.522491455078125,,9
-229.5686,104.93901,-9.455772,-390.43762,130.5625,-253.34613,127.35384,-51.38929,-564.4618,132.0625,-1.7094485759735107,10621.9443359375,22725,21.447498083114624,,10
-265.91855,153.33124,-37.504017,-551.37524,144.85714285714286,-246.87633,127.92883,-14.717644,-454.30115,114.77777777777777,-1.8949216604232788,9633.8681640625,24791,23.347795009613037,,11
-247.35483,138.63441,-74.53404,-614.31494,214.27272727272728,-289.52377,142.2007,-33.252518,-540.64,129.375,-1.6838973760604858,13861.22265625,26861,25.875267505645752,,12
-236.26208,181.04851,-11.183151,-670.10913,125.4375,-300.87738,136.88864,-84.25512,-564.23285,129.75,-1.6060923337936401,12604.060546875,28937,27.750401973724365,,13
-246.91045,133.85986,-58.45082,-517.2445,148.35714285714286,-272.70975,135.48395,-67.92938,-509.19147,140.6,-1.1714831590652466,9197.021484375,31046,29.802878379821777,,14
-207.6022,132.46368,21.321083,-439.65164,129.8125,-215.29338,118.33317,-72.80156,-406.37213,154.15384615384616,-0.861694872379303,4702.66455078125,33050,31.829423427581787,,15
-206.24867,141.21109,-40.322853,-462.5284,156.46153846153845,-183.30316,90.096214,-14.917614,-311.12607,132.1875,-0.7229259014129639,3303.087890625,35165,34.11382842063904,,16
-170.55534,95.48278,-43.85164,-337.2626,160.0,-226.10242,119.753334,-58.129677,-460.34985,150.28571428571428,-1.0701627731323242,5290.86767578125,37269,36.69943690299988,,17
-193.05528,96.27289,-27.746342,-397.78516,139.6,-217.52841,167.66801,23.351522,-637.19617,139.46666666666667,-0.9737139344215393,6865.84228515625,39361,38.759249448776245,,18
-164.43039,106.29725,6.260952,-399.48523,134.8,-121.61239,121.83896,51.968475,-334.05484,202.2,0.15339991450309753,4409.587890625,41383,41.452059745788574,,19
-180.91978,131.18477,22.12693,-412.709,207.64285714285714,-158.92578,84.91864,-6.312214,-357.79355,140.8,-0.596098780632019,2782.907470703125,43495,44.618133306503296,,20
-172.67464,166.43552,12.734383,-480.5658,251.875,-180.67615,87.08137,-19.378212,-292.31055,150.42857142857142,-0.6847419142723083,2200.60009765625,45601,47.69310903549194,,21
-255.3904,101.89658,-103.266205,-502.50623,185.27272727272728,-158.86227,120.103615,3.2747135,-351.00873,159.69230769230768,-0.45062410831451416,3273.45361328125,47677,49.7458930015564,,22
-251.08853,114.452095,-71.50679,-440.72772,194.54545454545453,-201.84581,136.33354,6.6978836,-452.71054,181.58333333333334,-0.6657770276069641,4521.244140625,49856,52.078203201293945,,23
-227.05673,86.26776,-25.176117,-340.32385,255.0,-287.3706,113.3489,-85.19728,-460.81232,183.83333333333334,-0.9231354594230652,5047.01708984375,52062,55.239171504974365,,24
-249.04617,147.2571,-30.169746,-474.625,210.9,-233.47034,163.57312,-28.11602,-553.5217,177.75,-0.5996527075767517,5351.37158203125,54195,57.54701590538025,,25
-194.99835,188.98,46.35737,-661.8354,194.1818181818182,-220.94235,152.67729,-20.347343,-444.72025,204.3,-0.667604386806488,4531.78076171875,56238,59.85196256637573,,26
-196.4606,122.690346,2.668991,-378.70874,189.9090909090909,-183.89935,102.76104,-10.361776,-388.7699,202.8,-0.39377716183662415,2853.007080078125,58266,62.088385820388794,,27
-161.85611,92.08698,-14.642609,-307.9672,161.92307692307693,-182.25717,157.01044,38.437508,-481.53015,289.7142857142857,-0.0068350909277796745,6161.7802734375,60294,65.07213163375854,,28
-124.20277,107.99701,57.690094,-269.80966,192.45454545454547,-217.98364,135.60759,-40.181664,-456.57956,205.2,-0.30706650018692017,2927.74462890625,62346,67.34127187728882,,29
-96.380455,91.731606,-2.5979385,-265.43878,179.75,-150.27705,76.749565,-32.665085,-248.93347,186.0909090909091,-0.1615571826696396,2179.22265625,64393,69.6216413974762,,30
-110.7733,113.396126,21.683277,-332.1571,283.22222222222223,-116.723946,96.36164,25.901554,-293.6591,175.33333333333334,-0.13376517593860626,2416.1884765625,66497,73.26139712333679,,31
-76.47145,90.74406,55.059166,-222.79279,172.25,-153.0962,74.8508,-64.65246,-297.84988,212.2,-0.08266672492027283,3349.100830078125,68619,76.66161513328552,,32
-103.7029,87.93928,5.293541,-251.08429,227.0,-93.495,102.896996,59.76616,-291.48273,247.63636363636363,0.09813191741704941,4086.881103515625,71343,81.63900113105774,,33
-157.4588,76.742386,-22.493988,-239.34811,188.72727272727272,-98.248024,93.11812,30.704338,-282.23187,169.08333333333334,0.06868971139192581,2935.330810546875,73372,84.23375153541565,,34
-154.14366,139.56932,48.638466,-395.43097,253.5,-91.06304,68.599976,7.2901917,-197.68799,193.0909090909091,0.07346674054861069,2959.750244140625,75496,87.505859375,,35
-175.35484,57.25047,-57.394577,-239.77411,341.8333333333333,-140.8106,103.84525,32.87249,-247.171,278.77777777777777,0.08736828714609146,3212.78662109375,78005,92.47357273101807,,36
-147.88751,83.763916,-15.673206,-303.77112,236.0,-203.81429,131.28282,63.597977,-406.77408,250.66666666666666,-0.26220011711120605,2650.0625,80261,95.96286058425903,,37
