Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,step,Train_EpisodeReturn,Train_EpisodeLen,critic_loss,q_values,target_values,grad_norm,epsilon,lr
,,,,,3000,,,0.06088128313422203,2.0967178344726562,2.0814528465270996,0.10717332363128662,0.91,0.0005
,,,,,3008,17.0,17,,,,,,
,,,,,3038,30.0,30,,,,,,
,,,,,3057,19.0,19,,,,,,
,,,,,3086,29.0,29,,,,,,
,,,,,3103,17.0,17,,,,,,
,,,,,3115,12.0,12,,,,,,
,,,,,3152,37.0,37,,,,,,
,,,,,3196,44.0,44,,,,,,
,,,,,3211,15.0,15,,,,,,
,,,,,3245,34.0,34,,,,,,
,,,,,3262,17.0,17,,,,,,
,,,,,3307,45.0,45,,,,,,
,,,,,3321,14.0,14,,,,,,
,,,,,3365,44.0,44,,,,,,
,,,,,3379,14.0,14,,,,,,
,,,,,3449,70.0,70,,,,,,
,,,,,3500,51.0,51,,,,,,
,,,,,3520,20.0,20,,,,,,
,,,,,3536,16.0,16,,,,,,
,,,,,3549,13.0,13,,,,,,
,,,,,3583,34.0,34,,,,,,
,,,,,3612,29.0,29,,,,,,
,,,,,3624,12.0,12,,,,,,
,,,,,3645,21.0,21,,,,,,
,,,,,3659,14.0,14,,,,,,
,,,,,3676,17.0,17,,,,,,
,,,,,3718,42.0,42,,,,,,
,,,,,3762,44.0,44,,,,,,
,,,,,3787,25.0,25,,,,,,
,,,,,3801,14.0,14,,,,,,
,,,,,3818,17.0,17,,,,,,
,,,,,3834,16.0,16,,,,,,
,,,,,3849,15.0,15,,,,,,
,,,,,3862,13.0,13,,,,,,
,,,,,3890,28.0,28,,,,,,
,,,,,3918,28.0,28,,,,,,
,,,,,3941,23.0,23,,,,,,
,,,,,3953,12.0,12,,,,,,
,,,,,3962,9.0,9,,,,,,
,,,,,3984,22.0,22,,,,,,
,,,,,3994,10.0,10,,,,,,
,,,,,4000,,,0.09141237288713455,3.0663490295410156,3.0392906665802,0.3869743049144745,0.88,0.0005
,,,,,4028,34.0,34,,,,,,
,,,,,4050,22.0,22,,,,,,
,,,,,4077,27.0,27,,,,,,
,,,,,4097,20.0,20,,,,,,
,,,,,4113,16.0,16,,,,,,
,,,,,4127,14.0,14,,,,,,
,,,,,4151,24.0,24,,,,,,
,,,,,4172,21.0,21,,,,,,
,,,,,4202,30.0,30,,,,,,
,,,,,4223,21.0,21,,,,,,
,,,,,4240,17.0,17,,,,,,
,,,,,4261,21.0,21,,,,,,
,,,,,4301,40.0,40,,,,,,
,,,,,4328,27.0,27,,,,,,
,,,,,4343,15.0,15,,,,,,
,,,,,4399,56.0,56,,,,,,
,,,,,4422,23.0,23,,,,,,
,,,,,4452,30.0,30,,,,,,
,,,,,4501,49.0,49,,,,,,
,,,,,4523,22.0,22,,,,,,
,,,,,4546,23.0,23,,,,,,
,,,,,4556,10.0,10,,,,,,
,,,,,4593,37.0,37,,,,,,
,,,,,4610,17.0,17,,,,,,
,,,,,4624,14.0,14,,,,,,
,,,,,4634,10.0,10,,,,,,
