Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,step,Train_EpisodeReturn,Train_EpisodeLen,actor_loss,entropy,critic_loss,q_values,target_values,actor_lr,critic_lr,temperature
,,,,,38000,,,-79.05738067626953,-0.9507115483283997,0.6478489637374878,77.96945190429688,77.94222259521484,0.0003,0.0003,0.1
,,,,,38999,2013.8503,1000,,,,,,,,
,,,,,39000,,,-87.17955017089844,-1.0945051908493042,0.5765249729156494,86.07479858398438,86.05703735351562,0.0003,0.0003,0.1
,,,,,39999,2156.3254,1000,,,,,,,,
2115.7488,28.694418,2164.2136,2054.1296,1000.0,40000,,,-88.55403137207031,-0.8945118188858032,0.6340205669403076,87.31350708007812,87.43634033203125,0.0003,0.0003,0.1
,,,,,40999,2232.1826,1000,,,,,,,,
,,,,,41000,,,-92.61479949951172,-0.729286253452301,0.5676360726356506,91.58642578125,91.59053039550781,0.0003,0.0003,0.1
,,,,,41999,2223.3306,1000,,,,,,,,
,,,,,42000,,,-99.18449401855469,-1.1251246929168701,0.6831713318824768,98.15483856201172,98.18954467773438,0.0003,0.0003,0.1
,,,,,42999,2347.0889,1000,,,,,,,,
,,,,,43000,,,-101.47128295898438,-1.1390326023101807,0.6143361330032349,100.36894989013672,100.39677429199219,0.0003,0.0003,0.1
,,,,,43999,2372.1294,1000,,,,,,,,
,,,,,44000,,,-106.84957122802734,-1.2352628707885742,0.5254411697387695,105.59086608886719,105.66181182861328,0.0003,0.0003,0.1
,,,,,44999,2418.2983,1000,,,,,,,,
2433.869,44.254135,2517.6975,2350.0571,1000.0,45000,,,-110.49884796142578,-1.312621831893921,0.5349671840667725,109.35298919677734,109.21549224853516,0.0003,0.0003,0.1
,,,,,45999,2524.1008,1000,,,,,,,,
,,,,,46000,,,-118.11740112304688,-1.684441328048706,0.5808940529823303,116.90027618408203,116.87040710449219,0.0003,0.0003,0.1
,,,,,46999,2515.532,1000,,,,,,,,
,,,,,47000,,,-122.317626953125,-1.5164566040039062,0.5270625352859497,121.1843490600586,121.09271240234375,0.0003,0.0003,0.1
,,,,,47999,2611.204,1000,,,,,,,,
,,,,,48000,,,-127.8035888671875,-1.510155439376831,0.6934507489204407,126.68904113769531,126.7095947265625,0.0003,0.0003,0.1
,,,,,48999,2659.0479,1000,,,,,,,,
,,,,,49000,,,-133.05982971191406,-1.7301127910614014,0.5783304572105408,131.48448181152344,131.58135986328125,0.0003,0.0003,0.1
,,,,,49999,2727.023,1000,,,,,,,,
2535.8193,89.65353,2686.0347,2323.368,1000.0,50000,,,-134.4809112548828,-1.7197701930999756,0.604401707649231,133.0399627685547,133.1683807373047,0.0003,0.0003,0.1
,,,,,50999,2631.876,1000,,,,,,,,
,,,,,51000,,,-139.85342407226562,-1.7984157800674438,0.6485822796821594,138.44012451171875,138.51161193847656,0.0003,0.0003,0.1
,,,,,51999,2737.3027,1000,,,,,,,,
