Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,step,Train_EpisodeReturn,Train_EpisodeLen,actor_loss,entropy,critic_loss,q_values,target_values,alpha,alpha_loss,actor_lr,critic_lr,temperature
,,,,,767,11.0,11,,,,,,,,,,
,,,,,770,3.0,3,,,,,,,,,,
,,,,,773,3.0,3,,,,,,,,,,
,,,,,786,13.0,13,,,,,,,,,,
,,,,,789,3.0,3,,,,,,,,,,
,,,,,793,4.0,4,,,,,,,,,,
,,,,,803,10.0,10,,,,,,,,,,
,,,,,807,4.0,4,,,,,,,,,,
,,,,,811,4.0,4,,,,,,,,,,
,,,,,818,7.0,7,,,,,,,,,,
,,,,,821,3.0,3,,,,,,,,,,
,,,,,824,3.0,3,,,,,,,,,,
,,,,,832,8.0,8,,,,,,,,,,
,,,,,837,5.0,5,,,,,,,,,,
,,,,,840,3.0,3,,,,,,,,,,
,,,,,847,7.0,7,,,,,,,,,,
,,,,,855,8.0,8,,,,,,,,,,
,,,,,864,9.0,9,,,,,,,,,,
,,,,,869,5.0,5,,,,,,,,,,
,,,,,877,8.0,8,,,,,,,,,,
,,,,,886,9.0,9,,,,,,,,,,
,,,,,890,4.0,4,,,,,,,,,,
,,,,,894,4.0,4,,,,,,,,,,
,,,,,898,4.0,4,,,,,,,,,,
,,,,,902,4.0,4,,,,,,,,,,
,,,,,905,3.0,3,,,,,,,,,,
,,,,,914,9.0,9,,,,,,,,,,
,,,,,917,3.0,3,,,,,,,,,,
,,,,,925,8.0,8,,,,,,,,,,
,,,,,931,6.0,6,,,,,,,,,,
,,,,,935,4.0,4,,,,,,,,,,
,,,,,938,3.0,3,,,,,,,,,,
,,,,,943,5.0,5,,,,,,,,,,
,,,,,946,3.0,3,,,,,,,,,,
,,,,,954,8.0,8,,,,,,,,,,
,,,,,963,9.0,9,,,,,,,,,,
,,,,,970,7.0,7,,,,,,,,,,
,,,,,973,3.0,3,,,,,,,,,,
,,,,,977,4.0,4,,,,,,,,,,
,,,,,981,4.0,4,,,,,,,,,,
,,,,,985,4.0,4,,,,,,,,,,
,,,,,991,6.0,6,,,,,,,,,,
,,,,,995,4.0,4,,,,,,,,,,
,,,,,1000,5.0,5,,,,,,,,,,
,,,,,1003,3.0,3,,,,,,,,,,
,,,,,1007,4.0,4,,,,,,,,,,
,,,,,1018,11.0,11,,,,,,,,,,
