Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,Train_AverageReturn,Train_StdReturn,Train_MaxReturn,Train_MinReturn,Train_AverageEpLen,Actor Loss,Train_EnvstepsSoFar,TimeSinceStart,Initial_DataCollection_AverageReturn,step
26.117647,13.150184,55.0,9.0,26.11764705882353,22.931429,12.231851,75.0,9.0,22.931428571428572,20.32232093811035,4013,1.0462346076965332,22.931429,0
36.666668,19.20648,72.0,13.0,36.666666666666664,25.838709,12.509859,70.0,10.0,25.838709677419356,21.35640525817871,8018,2.334764003753662,,1
61.142857,23.326431,105.0,40.0,61.142857142857146,35.052174,18.23272,98.0,11.0,35.052173913043475,29.08543586730957,12049,3.3844075202941895,,2
47.1,22.268589,97.0,23.0,47.1,47.682354,20.764341,115.0,18.0,47.68235294117647,35.886253356933594,16102,4.443979263305664,,3
38.727272,11.338518,54.0,20.0,38.72727272727273,45.211113,21.16417,136.0,14.0,45.21111111111111,33.777793884277344,20171,5.518397331237793,,4
45.444443,19.477116,84.0,25.0,45.44444444444444,47.4,23.962322,134.0,12.0,47.4,35.27103042602539,24200,6.542436838150024,,5
60.57143,18.661322,92.0,41.0,60.57142857142857,53.493332,24.581495,155.0,24.0,53.49333333333333,37.659603118896484,28212,7.567462682723999,,6
87.2,22.754341,111.0,49.0,87.2,65.66129,27.97807,178.0,16.0,65.66129032258064,43.648399353027344,32283,8.626304626464844,,7
62.57143,27.840654,104.0,20.0,62.57142857142857,69.77586,30.678556,200.0,22.0,69.77586206896552,45.71079635620117,36330,9.695268869400024,,8
51.5,16.255768,70.0,25.0,51.5,66.60656,33.961056,200.0,29.0,66.60655737704919,45.10991287231445,40393,10.779330968856812,,9
49.0,12.649111,70.0,31.0,49.0,62.796875,27.468264,156.0,26.0,62.796875,39.68654251098633,44412,11.839980125427246,,10
78.166664,21.114107,116.0,46.0,78.16666666666667,66.666664,31.650522,156.0,21.0,66.66666666666667,41.38445281982422,48412,12.887568712234497,,11
76.14286,29.254688,144.0,45.0,76.14285714285714,73.32727,33.980774,200.0,24.0,73.32727272727273,45.184810638427734,52445,13.964317798614502,,12
103.5,9.013878,118.0,95.0,103.5,86.978264,35.812004,182.0,40.0,86.97826086956522,50.125587463378906,56446,14.997529983520508,,13
135.33333,62.39836,200.0,51.0,135.33333333333334,105.39474,43.37385,197.0,42.0,105.39473684210526,59.98337173461914,60451,16.02498149871826,,14
82.2,19.943922,122.0,70.0,82.2,91.65909,37.151985,194.0,45.0,91.6590909090909,51.091915130615234,64484,17.076348304748535,,15
95.2,24.276737,128.0,63.0,95.2,85.40426,30.83012,193.0,26.0,85.40425531914893,45.59568786621094,68498,18.142478466033936,,16
108.0,39.54112,165.0,65.0,108.0,95.209305,32.447136,200.0,43.0,95.20930232558139,49.37535095214844,72592,19.208247900009155,,17
105.5,26.688013,145.0,74.0,105.5,105.20513,40.41146,200.0,44.0,105.2051282051282,56.49715805053711,76695,20.27826762199402,,18
157.33333,8.993825,168.0,146.0,157.33333333333334,116.48572,23.379322,169.0,75.0,116.48571428571428,55.569122314453125,80772,21.345600366592407,,19
146.0,27.652607,173.0,108.0,146.0,138.2069,35.162067,200.0,71.0,138.20689655172413,67.60332489013672,84780,22.385674953460693,,20
145.33333,30.944395,186.0,111.0,145.33333333333334,144.67857,38.091106,200.0,75.0,144.67857142857142,71.24185180664062,88831,23.44326114654541,,21
169.33333,43.369213,200.0,108.0,169.33333333333334,169.16667,29.499529,200.0,103.0,169.16666666666666,80.1544189453125,92891,24.502909660339355,,22
158.0,41.737274,189.0,99.0,158.0,158.84616,35.177235,200.0,82.0,158.84615384615384,77.75183868408203,97021,25.565340280532837,,23
167.66667,4.4969125,173.0,162.0,167.66666666666666,167.12,27.765188,200.0,98.0,167.12,79.6868896484375,101199,26.642938137054443,,24
162.0,12.027746,178.0,149.0,162.0,166.04,31.637293,200.0,75.0,166.04,80.90845489501953,105350,27.713055849075317,,25
187.66667,9.177266,200.0,178.0,187.66666666666666,159.34616,30.223454,200.0,107.0,159.34615384615384,78.90483093261719,109493,28.840197801589966,,26
141.33333,43.029705,200.0,98.0,141.33333333333334,164.08,29.628256,200.0,115.0,164.08,81.22750854492188,113595,29.917476177215576,,27
161.66667,36.808815,200.0,112.0,161.66666666666666,164.84,32.430458,200.0,80.0,164.84,82.88924407958984,117716,31.00803828239441,,28
162.0,28.890598,200.0,130.0,162.0,178.82608,24.545702,200.0,121.0,178.82608695652175,89.44660949707031,121829,32.08951234817505,,29
200.0,0.0,200.0,200.0,200.0,182.54546,29.055944,200.0,121.0,182.54545454545453,89.60713958740234,125845,33.14687252044678,,30
200.0,0.0,200.0,200.0,200.0,196.66667,8.77406,200.0,161.0,196.66666666666666,96.76444244384766,129975,34.22167229652405,,31
200.0,0.0,200.0,200.0,200.0,194.7619,16.218464,200.0,140.0,194.76190476190476,95.07533264160156,134065,35.29382061958313,,32
200.0,0.0,200.0,200.0,200.0,197.14285,12.777532,200.0,140.0,197.14285714285714,98.12539672851562,138205,36.36940145492554,,33
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,99.51934051513672,142205,37.38085579872131,,34
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,100.57337951660156,146205,38.392374992370605,,35
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,101.29847717285156,150205,39.41644787788391,,36
200.0,0.0,200.0,200.0,200.0,193.95238,16.114105,200.0,138.0,193.95238095238096,101.39978790283203,154278,40.46795129776001,,37
193.66667,8.956686,200.0,181.0,193.66666666666666,199.5238,2.1295884,200.0,190.0,199.52380952380952,103.94950866699219,158468,41.58156156539917,,38
200.0,0.0,200.0,200.0,200.0,194.57143,16.398521,200.0,125.0,194.57142857142858,104.20152282714844,162554,42.64689779281616,,39
153.66667,32.765156,200.0,130.0,153.66666666666666,200.0,0.0,200.0,200.0,200.0,107.3322982788086,166554,43.69378852844238,,40
149.66667,71.18208,200.0,49.0,149.66666666666666,191.95238,18.20381,200.0,143.0,191.95238095238096,106.05313110351562,170585,44.753478050231934,,41
200.0,0.0,200.0,200.0,200.0,188.86363,25.065905,200.0,111.0,188.86363636363637,105.42056274414062,174740,45.81378149986267,,42
200.0,0.0,200.0,200.0,200.0,166.70833,46.286682,200.0,86.0,166.70833333333334,99.23236083984375,178741,46.838093996047974,,43
200.0,0.0,200.0,200.0,200.0,167.79167,49.2595,200.0,42.0,167.79166666666666,101.17961883544922,182768,47.870059967041016,,44
150.33333,37.91511,200.0,108.0,150.33333333333334,184.63637,25.055475,200.0,125.0,184.63636363636363,105.01870727539062,186830,48.94313025474548,,45
167.0,46.66905,200.0,101.0,167.0,175.26086,37.374973,200.0,84.0,175.2608695652174,102.92279815673828,190861,49.997748136520386,,46
140.66667,33.58902,177.0,96.0,140.66666666666666,166.64,40.49383,200.0,86.0,166.64,100.63501739501953,195027,51.068679332733154,,47
200.0,0.0,200.0,200.0,200.0,169.625,44.57467,200.0,78.0,169.625,101.35711669921875,199098,52.11650991439819,,48
177.33333,32.055508,200.0,132.0,177.33333333333334,160.36,42.13111,200.0,63.0,160.36,96.80193328857422,203107,53.171022176742554,,49
146.5,53.965267,200.0,83.0,146.5,172.16667,39.439476,200.0,84.0,172.16666666666666,101.58684539794922,207239,54.31672763824463,,50
176.0,33.941124,200.0,128.0,176.0,168.875,42.160717,200.0,78.0,168.875,99.76966094970703,211292,55.40945076942444,,51
151.66667,34.237732,200.0,125.0,151.66666666666666,180.82608,31.080053,200.0,99.0,180.82608695652175,101.13105773925781,215451,56.489970445632935,,52
155.33333,46.621407,200.0,91.0,155.33333333333334,167.70833,42.845146,200.0,81.0,167.70833333333334,97.0523681640625,219476,57.5704550743103,,53
200.0,0.0,200.0,200.0,200.0,160.08,41.47377,200.0,82.0,160.08,93.09126281738281,223478,58.63188552856445,,54
188.66667,16.027754,200.0,166.0,188.66666666666666,169.5,45.61615,200.0,77.0,169.5,97.00997924804688,227546,59.732547998428345,,55
200.0,0.0,200.0,200.0,200.0,164.48,46.788136,200.0,41.0,164.48,94.16499328613281,231658,60.800896883010864,,56
167.0,43.181786,200.0,106.0,167.0,170.625,40.641537,200.0,97.0,170.625,95.30989074707031,235753,61.87977457046509,,57
146.75,47.59924,200.0,94.0,146.75,162.6,46.856373,200.0,85.0,162.6,91.93186950683594,239818,62.982696533203125,,58
200.0,0.0,200.0,200.0,200.0,169.16667,40.64959,200.0,99.0,169.16666666666666,92.92913055419922,243878,64.02858257293701,,59
200.0,0.0,200.0,200.0,200.0,167.44,41.02495,200.0,99.0,167.44,91.59215545654297,248064,65.10407757759094,,60
200.0,0.0,200.0,200.0,200.0,179.47826,35.02778,200.0,106.0,179.47826086956522,94.41223907470703,252192,66.17321801185608,,61
200.0,0.0,200.0,200.0,200.0,156.46153,44.00632,200.0,95.0,156.46153846153845,84.44502258300781,256260,67.25217270851135,,62
200.0,0.0,200.0,200.0,200.0,182.13043,34.98236,200.0,92.0,182.1304347826087,94.71529388427734,260449,68.35032796859741,,63
200.0,0.0,200.0,200.0,200.0,180.43478,33.308605,200.0,106.0,180.43478260869566,91.75579071044922,264599,69.42018008232117,,64
200.0,0.0,200.0,200.0,200.0,182.13637,32.32125,200.0,113.0,182.13636363636363,92.2439193725586,268606,70.44674134254456,,65
177.66667,31.584105,200.0,133.0,177.66666666666666,178.73914,35.852615,200.0,112.0,178.7391304347826,90.7489242553711,272717,71.534996509552,,66
166.66667,37.67699,200.0,114.0,166.66666666666666,188.5,25.046774,200.0,121.0,188.5,94.2065200805664,276864,72.62899255752563,,67
200.0,0.0,200.0,200.0,200.0,189.54546,23.872252,200.0,121.0,189.54545454545453,94.40774536132812,281034,73.72483825683594,,68
200.0,0.0,200.0,200.0,200.0,195.33333,19.119507,200.0,110.0,195.33333333333334,96.77992248535156,285136,74.79605317115784,,69
186.0,19.79899,200.0,158.0,186.0,194.42857,12.272972,200.0,149.0,194.42857142857142,95.88435363769531,289219,75.90207719802856,,70
188.0,16.970562,200.0,164.0,188.0,188.0,16.41784,200.0,139.0,188.0,93.26165008544922,293355,76.99516534805298,,71
196.33333,2.6246693,200.0,194.0,196.33333333333334,193.19048,11.421029,200.0,161.0,193.1904761904762,95.635009765625,297412,78.09723973274231,,72
200.0,0.0,200.0,200.0,200.0,195.5238,7.725154,200.0,172.0,195.52380952380952,97.79145812988281,301518,79.1478009223938,,73
200.0,0.0,200.0,200.0,200.0,197.95238,7.396757,200.0,166.0,197.95238095238096,98.83491516113281,305675,80.24730134010315,,74
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,97.87252044677734,309675,81.30881667137146,,75
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,97.518310546875,313675,82.35520792007446,,76
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,99.41395568847656,317675,83.3899667263031,,77
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,97.74125671386719,321675,84.41609978675842,,78
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,97.89944458007812,325675,85.4406328201294,,79
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,99.01814270019531,329675,86.46703767776489,,80
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,96.81636810302734,333675,87.50589728355408,,81
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,98.99366760253906,337675,88.55321049690247,,82
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,97.89413452148438,341675,89.59867072105408,,83
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,99.79657745361328,345675,90.63028931617737,,84
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,98.62305450439453,349675,91.67153906822205,,85
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,100.08019256591797,353675,92.71916890144348,,86
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,97.8943099975586,357675,93.74592113494873,,87
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,96.48099517822266,361675,94.77163195610046,,88
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,96.88399505615234,365675,95.79989624023438,,89
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,97.7129898071289,369675,96.82115340232849,,90
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,95.92552185058594,373675,97.85876703262329,,91
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,95.09788513183594,377675,98.89963126182556,,92
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,95.41217041015625,381675,99.94742798805237,,93
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,93.7424545288086,385675,100.99566435813904,,94
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,95.65482330322266,389675,102.06401085853577,,95
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,93.78288269042969,393675,103.1008288860321,,96
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,93.6829605102539,397675,104.13430690765381,,97
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,92.69923400878906,401675,105.1710889339447,,98
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,94.3831558227539,405675,106.21606612205505,,99
