Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,step,Train_EpisodeReturn,Train_EpisodeLen,actor_loss,entropy,critic_loss,q_values,target_values,actor_lr,critic_lr,temperature
,,,,,821,4.0,4,,,,,,,,
,,,,,824,3.0,3,,,,,,,,
,,,,,828,4.0,4,,,,,,,,
,,,,,838,10.0,10,,,,,,,,
,,,,,845,7.0,7,,,,,,,,
,,,,,850,5.0,5,,,,,,,,
,,,,,855,5.0,5,,,,,,,,
,,,,,858,3.0,3,,,,,,,,
,,,,,861,3.0,3,,,,,,,,
,,,,,865,4.0,4,,,,,,,,
,,,,,872,7.0,7,,,,,,,,
,,,,,876,4.0,4,,,,,,,,
,,,,,879,3.0,3,,,,,,,,
,,,,,882,3.0,3,,,,,,,,
,,,,,887,5.0,5,,,,,,,,
,,,,,891,4.0,4,,,,,,,,
,,,,,894,3.0,3,,,,,,,,
,,,,,904,10.0,10,,,,,,,,
,,,,,910,6.0,6,,,,,,,,
,,,,,916,6.0,6,,,,,,,,
,,,,,923,7.0,7,,,,,,,,
,,,,,927,4.0,4,,,,,,,,
,,,,,933,6.0,6,,,,,,,,
,,,,,938,5.0,5,,,,,,,,
,,,,,942,4.0,4,,,,,,,,
,,,,,946,4.0,4,,,,,,,,
,,,,,949,3.0,3,,,,,,,,
,,,,,953,4.0,4,,,,,,,,
,,,,,958,5.0,5,,,,,,,,
,,,,,965,7.0,7,,,,,,,,
,,,,,975,10.0,10,,,,,,,,
,,,,,983,8.0,8,,,,,,,,
,,,,,991,8.0,8,,,,,,,,
,,,,,994,3.0,3,,,,,,,,
,,,,,1004,10.0,10,,,,,,,,
,,,,,1010,6.0,6,,,,,,,,
,,,,,1013,3.0,3,,,,,,,,
,,,,,1025,12.0,12,,,,,,,,
,,,,,1030,5.0,5,,,,,,,,
,,,,,1035,5.0,5,,,,,,,,
,,,,,1038,3.0,3,,,,,,,,
,,,,,1042,4.0,4,,,,,,,,
,,,,,1045,3.0,3,,,,,,,,
,,,,,1061,16.0,16,,,,,,,,
,,,,,1076,15.0,15,,,,,,,,
,,,,,1083,7.0,7,,,,,,,,
,,,,,1087,4.0,4,,,,,,,,
,,,,,1090,3.0,3,,,,,,,,
,,,,,1093,3.0,3,,,,,,,,
,,,,,1105,12.0,12,,,,,,,,
,,,,,1130,25.0,25,,,,,,,,
,,,,,1134,4.0,4,,,,,,,,
,,,,,1138,4.0,4,,,,,,,,
,,,,,1149,11.0,11,,,,,,,,
,,,,,1152,3.0,3,,,,,,,,
