Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,step,Train_EpisodeReturn,Train_EpisodeLen,actor_loss,entropy,critic_loss,q_values,target_values,actor_lr,critic_lr,temperature
,,,,,2875,9.930265,25,,,,,,,,
,,,,,2893,14.369245,18,,,,,,,,
,,,,,2907,8.574874,14,,,,,,,,
,,,,,2916,7.1913986,9,,,,,,,,
,,,,,2931,8.385295,15,,,,,,,,
,,,,,2939,4.846204,8,,,,,,,,
,,,,,2969,31.421867,30,,,,,,,,
,,,,,2981,7.692861,12,,,,,,,,
,,,,,3003,11.563464,22,,,,,,,,
,,,,,3041,22.053238,38,,,,,,,,
,,,,,3062,19.37943,21,,,,,,,,
,,,,,3078,15.864899,16,,,,,,,,
,,,,,3113,26.711477,35,,,,,,,,
,,,,,3142,25.569887,29,,,,,,,,
,,,,,3159,11.118698,17,,,,,,,,
,,,,,3172,11.572446,13,,,,,,,,
,,,,,3185,8.64228,13,,,,,,,,
,,,,,3198,9.642451,13,,,,,,,,
,,,,,3222,21.672953,24,,,,,,,,
,,,,,3239,15.354005,17,,,,,,,,
,,,,,3269,27.137697,30,,,,,,,,
,,,,,3282,9.541612,13,,,,,,,,
,,,,,3296,11.096597,14,,,,,,,,
,,,,,3317,20.021954,21,,,,,,,,
,,,,,3349,28.68085,32,,,,,,,,
,,,,,3382,14.455955,33,,,,,,,,
,,,,,3404,15.662727,22,,,,,,,,
,,,,,3452,39.13949,48,,,,,,,,
,,,,,3475,18.858948,23,,,,,,,,
,,,,,3490,10.825667,15,,,,,,,,
,,,,,3507,17.453022,17,,,,,,,,
,,,,,3535,27.147581,28,,,,,,,,
,,,,,3559,15.285262,24,,,,,,,,
,,,,,3583,17.906979,24,,,,,,,,
,,,,,3603,7.9589567,20,,,,,,,,
,,,,,3631,25.29722,28,,,,,,,,
,,,,,3647,15.341641,16,,,,,,,,
,,,,,3695,21.573336,48,,,,,,,,
,,,,,3729,32.9272,34,,,,,,,,
,,,,,3739,6.555401,10,,,,,,,,
,,,,,3766,25.481848,27,,,,,,,,
,,,,,3800,30.287363,34,,,,,,,,
,,,,,3817,9.292826,17,,,,,,,,
,,,,,3831,9.279944,14,,,,,,,,
,,,,,3847,15.822814,16,,,,,,,,
,,,,,3863,11.923877,16,,,,,,,,
,,,,,3873,7.471845,10,,,,,,,,
,,,,,3891,16.305912,18,,,,,,,,
,,,,,3912,22.25288,21,,,,,,,,
,,,,,3933,17.457249,21,,,,,,,,
,,,,,3951,16.603867,18,,,,,,,,
,,,,,3971,16.22161,20,,,,,,,,
,,,,,3997,30.51937,26,,,,,,,,
,,,,,4038,55.923973,41,,,,,,,,
,,,,,4068,10.829993,30,,,,,,,,
,,,,,4094,14.88744,26,,,,,,,,
,,,,,4125,38.375507,31,,,,,,,,
,,,,,4172,45.52808,47,,,,,,,,
,,,,,4193,14.670052,21,,,,,,,,
,,,,,4213,17.319925,20,,,,,,,,
,,,,,4233,24.314983,20,,,,,,,,
,,,,,4255,18.16521,22,,,,,,,,
,,,,,4275,14.95343,20,,,,,,,,
,,,,,4288,10.490097,13,,,,,,,,
,,,,,4300,10.62462,12,,,,,,,,
,,,,,4316,12.936959,16,,,,,,,,
,,,,,4330,7.0796084,14,,,,,,,,
,,,,,4344,7.2326083,14,,,,,,,,
